Number of Subcarrier,Signal Constellation,Eb/No,ofdm_std,ofdm_max,BER,
1024,4,8,0.020589733,0.119134322,0.000119579,
512,4,8,0.029397226,0.190842244,0.000179369,
256,4,8,0.044600941,0.197411633,0.00016,
128,4,8,0.059643788,0.267715492,0.000219789,
64,4,8,0.079258316,0.351700038,0.000139866,
1024,16,12,0.045574532,0.282125866,0.000117188,
512,16,12,0.067354977,0.420469111,0.000159439,
256,16,12,0.092527663,0.48345475,0.000209263,
128,16,12,0.135073739,0.800396024,0.000119579,
64,16,12,0.209236402,0.870051528,0.000169837,
1024,64,16,0.094432519,0.56484922,0.000181909,
512,64,16,0.136381839,0.8572732,0.000217014,
256,64,16,0.174593891,1.106435558,0.0001381,
128,64,16,0.240627896,1.189123491,0.00023855,
64,64,16,0.322766767,1.561459993,0.000179598,
1024,256,21,0.189419329,1.070855542,0.00010329,
512,256,21,0.252433075,1.315931869,0.00015625,
256,256,21,0.382382173,2.287711341,0.000139509,
128,256,21,0.50728273,2.72122969,0.000209263,
64,256,21,0.71478185,3.741747771,0.000229193,
1024,512,23,0.259869175,1.699837355,0.000157828,
512,512,23.5,0.393977967,2.040697095,0.000108507,
256,512,23.5,0.520410723,3.079808535,0.0001381,
128,512,23,0.77390113,3.678315741,0.000199553,
64,512,23.5,0.957367704,4.674913597,0.000119732,
1024,1024,26,0.369768166,1.930070023,0.000117188,
512,1024,26,0.514027211,2.847436912,0.000136719,
256,1024,26,0.744728888,4.547552838,0.000117188,
128,1024,26,1.088596245,4.909752652,0.000138449,
64,1024,26,1.351606895,5.798807591,0.000119427,
1024,32,14,0.065980903,0.376508932,0.000166016,
512,32,14,0.091085624,0.518386843,0.000126953,
256,32,14,0.121345839,0.641046712,0.000187896,
128,32,14,0.187829087,1.10002681,0.00017914,
64,32,14,0.28233995,1.316342551,0.000219649,
